Rk,name,G,MP,PER,Team
1,Karl Malone,81,3030,27.9,1997-98 Utah Jazz
2,Jeff Hornacek,80,2460,19.3,1997-98 Utah Jazz
3,Bryon Russell\russebr01,82,2219,12.9,1997-98 Utah Jazz
4,Adam Keefe\keefead01,80,2047,14.5,1997-98 Utah Jazz
5,John Stockton,64,1858,21.8,1997-98 Utah Jazz
6,Howard Eisley\eisleho01,82,1726,13.6,1997-98 Utah Jazz
7,Shandon Anderson\andersh01,82,1602,15.7,1997-98 Utah Jazz
8,Greg Foster\fostegr01,78,1446,8.9,1997-98 Utah Jazz
9,Greg Ostertag\ostergr01,63,1288,12.5,1997-98 Utah Jazz
10,Antoine Carr\carran01,66,1086,9.8,1997-98 Utah Jazz
11,Chris Morris\morrich01,54,538,14.7,1997-98 Utah Jazz
12,Jacque Vaughn\vaughja01,45,419,6.9,1997-98 Utah Jazz
13,William Cunningham\cunniwi01,6,38,8.7,1997-98 Utah Jazz
14,Troy Hudson\hudsotr01,8,23,5.1,1997-98 Utah Jazz
1,Wilt Chamberlain,82,3630,20.3,1970-71 Los Angeles Lakers
2,Happy Hairston\hairsha01,80,2921,16.2,1970-71 Los Angeles Lakers
3,Jerry West,69,2845,23.5,1970-71 Los Angeles Lakers
4,Gail Goodrich,79,2808,14.6,1970-71 Los Angeles Lakers
5,Keith Erickson\erickke01,73,2272,11.5,1970-71 Los Angeles Lakers
6,Jim McMillian\mcmilji01,81,1747,12.2,1970-71 Los Angeles Lakers
7,Willie McCarter\mccarwi01,76,1369,8.5,1970-71 Los Angeles Lakers
8,Rick Roberson\roberri01,65,909,11.8,1970-71 Los Angeles Lakers
9,Fred Hetzel\hetzefr01,59,613,12.4,1970-71 Los Angeles Lakers
10,Pat Riley\rileypa01,54,506,12.3,1970-71 Los Angeles Lakers
11,John Tresvant\tresvjo01,8,66,22.7,1970-71 Los Angeles Lakers
12,Elgin Baylor\bayloel01,2,57,9,1970-71 Los Angeles Lakers
13,Earnie Killum\killuea01,4,12,-5.3,1970-71 Los Angeles Lakers
1,Tony Parker,80,2735,18,2004-05 San Antonio Spurs
2,Bruce Bowen,82,2627,9.5,2004-05 San Antonio Spurs
3,Tim Duncan,66,2203,27,2004-05 San Antonio Spurs
4,Manu Ginobili,74,2193,22.3,2004-05 San Antonio Spurs
5,Rasho Nesterovi_\nestera01,70,1785,12,2004-05 San Antonio Spurs
6,Brent Barry\barrybr01,81,1742,14,2004-05 San Antonio Spurs
7,Robert Horry\horryro01,75,1396,14.9,2004-05 San Antonio Spurs
8,Devin Brown\brownde02,67,1238,14.6,2004-05 San Antonio Spurs
9,Beno Udrih\udrihbe01,80,1149,14.3,2004-05 San Antonio Spurs
10,Malik Rose\rosema01,50,862,14,2004-05 San Antonio Spurs
11,Tony Massenburg\masseto01,61,699,8.5,2004-05 San Antonio Spurs
12,Nazr Mohammed\mohamna01,23,414,14.2,2004-05 San Antonio Spurs
13,Mike Wilks\wilksmi01,48,278,11,2004-05 San Antonio Spurs
14,Sean Marks\marksse01,23,244,8.7,2004-05 San Antonio Spurs
15,Glenn Robinson\robingl01,9,157,17.2,2004-05 San Antonio Spurs
16,Dion Glover\glovedi01,7,68,14,2004-05 San Antonio Spurs
17,Linton Johnson\johnsli01,2,15,-3.4,2004-05 San Antonio Spurs
1,Klay Thompson,78,2649,17.4,2016-17 Golden State Warriors
2,Stephen Curry,79,2638,24.6,2016-17 Golden State Warriors
3,Draymond Green,76,2471,16.5,2016-17 Golden State Warriors
4,Kevin Durant,62,2070,27.6,2016-17 Golden State Warriors
5,Andre Iguodala,76,1998,14.3,2016-17 Golden State Warriors
6,Shaun Livingston\livinsh01,76,1345,10.1,2016-17 Golden State Warriors
7,Zaza Pachulia\pachuza01,70,1268,16.1,2016-17 Golden State Warriors
8,Ian Clark\clarkia01,77,1137,13.1,2016-17 Golden State Warriors
9,Patrick McCaw\mccawpa01,71,1074,8.6,2016-17 Golden State Warriors
10,David West\westda01,68,854,16.6,2016-17 Golden State Warriors
11,JaVale McGee\mcgeeja01,77,739,25.2,2016-17 Golden State Warriors
12,James Michael McAdoo\mcadoja01,52,457,13.1,2016-17 Golden State Warriors
