Team,Elo
1997-98 Utah Jazz,1766
1970-71 Los Angeles Lakers,1753
2004-05 San Antonio Spurs,1771
2016-17 Golden State Warriors,1865
2012-13 Miami Heat,1774
1995-96 Chicago Bulls,1853
2000-01 Los Angeles Lakers,1779
2007-08 Boston Celtics,1760
1995-96 Seattle SuperSonics,1731
1985-86 Boston Celtics,1816
2006-07 Houston Rockets,1697
1986-87 Los Angeles Lakers,1760
2004-05 Phoenix Suns,1743
2007-08 Denver Nuggets,1691
2003-04 Detroit Pistons,1715
2015-16 Cleveland Cavaliers,1759
2010-11 Dallas Mavericks,1736
