No.,Team name,Player name,rating
1,Utah Jazz,Karl Malone,96
2,Utah Jazz,John Stockton,93
3,Utah Jazz,Jeff Hornacek,81
4,Utah Jazz,Bryon Russell,76
5,Utah Jazz,Shandon Anderson,73
6,Utah Jazz,Chris Morris,72
7,Utah Jazz,Howard Eisley,71
8,Utah Jazz,Jacque Vaughn,70
9,Utah Jazz,Greg Ostertag,70
10,Utah Jazz,Antoine Carr,69
11,Utah Jazz,Adam Keefe,69
12,Utah Jazz,Greg Foster,69
13,Lakers 1971,Jerry West,95
14,Lakers 1971,Wilt Chamberlain,93
15,Lakers 1971,Gail Goodrich,84
16,Lakers 1971,Elgin Baylor,76
17,Lakers 1971,Fred Hetzel,76
18,Lakers 1971,Erickson,74
19,Lakers 1971,Rick Roberson,69
20,Lakers 1971,Willie McCarter,68
21,Spurs,Tim Duncan,98
22,Spurs,Tony Parker,90
23,Spurs,Manu Ginobili,87
24,Spurs,Bruce Bowen,84
25,Spurs,Robert Horry,79
26,Spurs,Brent Barry,78
27,Spurs,Nazr Mohammed,76
28,Spurs,Beno Udrih,73
29,Warriors,Kevin Durant,97
30,Warriors,Stephen Curry,96
31,Warriors,Klay Thompson,92
32,Warriors,Draymond Green,87
33,Warriors,Andre Iguodala,80
34,Warriors,JaVale McGee,78
35,Warriors,David West,77
36,Warriors,Kevon Looney,75
37,Warriors,Matt Barnes,73
38,Warriors,Damian Jone,72
39,Heat,LeBron James,98
40,Heat,Dwyane Wade,92
41,Heat,Chris Bosh,86
42,Heat,Ray Allen,77
43,Heat,Shane Battier,77
44,Heat,Mike Miller,76
45,Heat,Mario Chalmers,75
46,Heat,Rashard Lewis,74
47,Heat,Udonis Haslem,73
48,Bulls,Michael Jordan,99
49,Bulls,Scottie Pippen,95
50,Bulls,Dennis Rodman,86
51,Bulls,Toni Kukoc,80
52,Bulls,Ron Harper,79
53,Bulls,Steve Kerr,75
54,Bulls,Luc Longley,74
55,Bulls,Jud Buechle,70
56,Bulls,John Salley,69
57,Bulls,Dickey Simpkins,69
58,Bulls,Bill Wennington,67
59,Bulls,James Edwards,63
60,Lakers 2001,Kobe Bryant,97
61,Lakers 2001,Shaquille ONeal,97
62,Lakers 2001,Horace Grant,80
63,Lakers 2001,Rick Fox,79
64,Lakers 2001,Derek Fisher,77
65,Lakers 2001,Robert Horry,76
66,Lakers 2001,Isaiah Rider,75
67,Lakers 2001,Ron Harper,73
68,Lakers 2001,Mark Madsen,73
69,Lakers 2001,Tyronn Lue,72
70,Lakers 2001,Brian Shaw,72
71,Lakers 2001,Devean George,71
72,Lakers 2001,Greg Foster,69
73,Celtics,Kevin Garnett,93
74,Celtics,Paul Pierce,92
75,Celtics,Ray Allen,88
76,Celtics,Rajon Rondo,85
77,Celtics,James Posey,76
78,Celtics,Leon Powe,76
79,Celtics,Kendrick Perkins,76
80,Celtics,Tony Allen,75
81,Celtics,Glen Davis,75
82,Celtics,Sam Cassell,74
83,Celtics,P.J. Brown,74
84,Celtics,Brian Scalabrine,73
85,Celtics,Scot Pollard,72
86,Sonics,Gary Payton,94
87,Sonics,Shawn Kemp,89
88,Sonics,Detlef Schrempf,82
89,Sonics,Hersey Hawkins,78
90,Sonics,Sam Perkins,77
91,Sonics,Nate McMillan,75
92,Sonics,Ervin Johnson,74
93,Sonics,Eric Snow,71
94,Sonics,David Wingate,71
95,Sonics,Vincent Askew,71
96,Sonics,Frank Brickowski,69
97,85-86 Celtics,Larry Bird,97
98,85-86 Celtics,Kevin McHale,91
99,85-86 Celtics,Robert Parish,86
100,85-86 Celtics,Dennis Johnson,84
101,85-86 Celtics,Danny Ainge,78
102,85-86 Celtics,Bill Walton,76
103,85-86 Celtics,Scott Wedman,73
104,85-86 Celtics,"104	Sam Vincent",69
105,85-86 Celtics,Jerry Sichting,68
106,Rocket,Tracy McGrady,91
107,Rocket,Yao Ming,88
108,Rocket,Rafer Alston,79
109,Rocket,Shane Battier,79
110,Rocket,Carl Landry,76
111,Rocket,Luis Scola,76
112,Rocket,Bobby Jackson,75
113,Rocket,Dikembe Mutombo,74
114,Rocket,Luther Head,74
115,Rocket,Aaron Brooks,74
116,Rocket,Steve Francis,73
117,Rocket,Steve Novak,72
118,Nuggest,Carmelo Anthony,92
119,Nuggest,Allen Iverson,89
120,Nuggest,Marcus Camby,87
121,Nuggest,J.R. Smith,79
122,Nuggest,Kenyon Martin,79
123,Nuggest,Nenê,77
124,Nuggest,Eduardo Najera,75
125,Nuggest,Steven Hunter,73
126,Lakers 1987,Magic Johnson,98
127,Lakers 1987,Kareem Abdul-Jabbar,94
128,Lakers 1987,James Worthy,86
129,Lakers 1987,Michael Cooper,86
130,Lakers 1987,Byron Scott,84
131,Lakers 1987,A.C. Green,76
132,Lakers 1987,Wes Matthews,75
133,Lakers 1987,Kurt Rambis,73
134,Lakers 1987,Billy Thompson,72
135,Lakers 1987,Mychal Thompson,70
136,Lakers 1987,Frank Brickowski,68
137,Suns,Steve Nash,95
138,Suns,Amare Stoudemire,89
139,Suns,Shawn Marion,86
140,Suns,Quentin Richardson,78
141,Suns,Steven Hunter,73
142,Suns,Leandro Barbosa,73
143,Suns,Jim Jackson,72
144,Suns,Bo Outlaw,70
